,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
168,2021-09-02,294.02270422740054,295.1512893597949,292.057344925021,293.0010986328125,16285600,0.0,0.0
169,2021-09-03,292.8453681711195,294.4118179045232,292.1351405686588,292.9913330078125,14747900,0.0,0.0
170,2021-09-07,292.8648693643015,292.9426915505328,290.1309085616281,292.05731201171875,17180400,0.0,0.0
171,2021-09-08,291.66809901400006,292.4756265566167,289.42060885659953,292.0864562988281,15046800,0.0,0.0
172,2021-09-09,292.6799783157929,293.9642669456135,288.9633383530343,289.2065734863281,19927000,0.0,0.0
173,2021-09-10,290.34494231543204,291.8043531923054,287.38719462460057,287.708251953125,19633400,0.0,0.0
174,2021-09-13,289.49842705545046,290.46165831809833,286.1223224125795,288.9535827636719,23652900,0.0,0.0
175,2021-09-14,291.4540389351081,293.23453658667086,290.0335541912797,291.6778259277344,21853400,0.0,0.0
176,2021-09-15,295.0539922985185,297.0582476708573,293.6529553811059,296.57177734375,28356300,0.0,0.0
177,2021-09-16,295.5404525071817,297.0484985928664,292.62163064446963,296.9609375,19550800,0.0,0.0
178,2021-09-17,295.93936938029697,296.26042672911234,291.4249105304597,291.7557067871094,41372500,0.0,0.0
179,2021-09-20,288.311463415093,290.63680560825134,281.68574056914485,286.3363952636719,38278700,0.0,0.0
180,2021-09-21,287.68877674981024,289.48872260021335,286.1126179018401,286.8228454589844,22364100,0.0,0.0
181,2021-09-22,288.700633219864,292.0961859219519,286.54070421222684,290.50054931640625,26626300,0.0,0.0
182,2021-09-23,290.763291562761,292.7578078290268,289.47900290076296,291.4540710449219,18604600,0.0,0.0
183,2021-09-24,290.160036804586,291.6875307227553,288.89519642320596,291.2497253417969,14999000,0.0,0.0
184,2021-09-27,288.1266859066098,288.44774328743506,285.0132636520483,286.2099914550781,23571700,0.0,0.0
185,2021-09-28,281.9581799222653,282.91167241932607,275.09896042499,275.8481140136719,43186200,0.0,0.0
186,2021-09-29,277.3853344514894,279.0101284120121,275.3518924284202,276.3150939941406,26353700,0.0,0.0
187,2021-09-30,277.97880472446695,280.0414337060304,273.99948188894393,274.2913818359375,32343600,0.0,0.0
188,2021-10-01,274.4860239096568,282.13335320615363,273.6784961978228,281.27716064453125,30086300,0.0,0.0
189,2021-10-04,279.6230495967181,279.96358465629,272.66653205881937,275.4491271972656,31350700,0.0,0.0
190,2021-10-05,276.36374826269554,282.5419266245184,276.36374826269554,280.9463195800781,24993000,0.0,0.0
